Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
Grant Williams,BOS,"SF,PF",8.1,3.9,1,0.7,0.5,0.468,0.873,1.4,77,25.5,0.9,#N/A,#N/A
Andre Drummond,CHI,C,8.1,8.4,1.6,0.9,1,0.547,0.553,0,75,18.5,1.9,5.93,2.25
Damian Jones,LAL,C,8.1,5.7,1.3,0.8,0.6,0.649,0.729,0.2,64,18.9,1.2,9.20,4.30
Otto Porter Jr.,TOR,"SF,PF",8.1,5.7,1.4,0.5,1,0.467,0.802,1.2,63,22.2,0.7,11.50,1.90
Isaiah Hartenstein,NYK,"PF,C",7.9,4.5,2.3,1.1,0.7,0.606,0.675,0.1,72,19.7,1.2,5.38,1.94
Mo Bamba,ORL,C,7.9,8.5,1.1,1.3,0.4,0.486,0.782,1,64,19.5,1,8.70,1.03
Kyle Anderson,MIN,"SF,PF",7.9,5.2,2.8,0.7,1.1,0.44,0.663,0.6,70,22.4,1.1,6.80,1.52
Draymond Green,GSW,"PF,C",7.8,7.5,6.8,1,1.4,0.513,0.712,0.7,62,29.3,2.9,5.59,1.98
Jarred Vanderbilt,UTH,"PF,C",7.8,9.3,1.3,0.8,1.3,0.583,0.652,0,71,27,1.1,4.88,1.77
Jaxson Hayes,NOR,C,7.7,5,0.7,0.7,0.5,0.601,0.795,0.2,69,18.1,0.8,10.40,3.70
Mason Plumlee,CHA,"PF,C",7.6,8.2,3.1,0.7,0.8,0.643,0.521,0,73,25,1.5,7.70,3.70
Alex Caruso,CHI,"PG,SG",7.5,3.3,3.8,0.4,1.5,0.4,0.786,1.1,68,26.1,1.4,6.27,1.78
Chuma Okeke,ORL,PF DTD,7.5,3.5,1.4,0.5,1.1,0.392,0.839,1.4,69,20.8,0.7,8.23,0.93
Steven Adams,MEM,C DTD,7.4,9.2,3.2,0.9,0.9,0.558,0.543,0.1,76,26.3,1.4,5.04,2.62
Gary Payton II,POR,"PG,SG",7.3,4.5,1.1,0.4,1.4,0.558,0.601,0.5,70,20.8,0.7,4.85,0.82
Robert Covington,LAC,"PF,C,SF DTD",7.1,4.9,1.2,1.1,1.2,0.409,0.787,1.6,70,23.8,1,7.03,0.97
Royce O'Neale,BKN,"SF,PF",7.1,4.5,2.3,0.4,1,0.431,0.813,1.5,77,27.7,1,5.77,0.73
Delon Wright,WAS,"PG,SG",6.3,3.1,2.5,0.2,1.2,0.452,0.86,0.7,74,19.8,0.8,8.60,2.10
Matisse Thybulle,PHI,"SG,SF DTD",5.3,2.8,1.2,1,1.5,0.478,0.725,0.6,71,22.8,0.7,4.55,0.65
